Entry Type,Series,Company,Posting Date,,,Account (Accounting Entries),Credit (Accounting Entries),Debit (Accounting Entries),Cost Center (Accounting Entries),Party Type (Accounting Entries),Party (Accounting Entries)
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,212.48 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,188.16 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,176.64 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,135.68 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,204.80 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,101.76 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,140.80 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,168.96 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,51.20 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,595.20 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,78.72 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,331.52 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,222.72 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,117.76 ,Main - B,Customer,Guest
,,,,2010106,Cigalah Group,2010106 - Cigalah Group - B,"2,862.72 ",0.00 ,Main - B,Customer,Guest
,,,,1010501,Stock on Hand,1010501 - Stock on Hand - B,0.00 ,212.48 ,Main - B,Customer,Guest
,,,,1010501,Stock on Hand,1010501 - Stock on Hand - B,0.00 ,188.16 ,Main - B,Customer,Guest
,,,,1010501,Stock on Hand,1010501 - Stock on Hand - B,"2,726.40 ",0.00 ,Main - B,Customer,Guest
,,,,1010501,Stock on Hand,1010501 - Stock on Hand - B,0.00 ,176.64 ,Main - B,Customer,Guest
,,,,1010501,Stock on Hand,1010501 - Stock on Hand - B,0.00 ,135.68 ,Main - B,Customer,Guest
,,,,1010501,Stock on Hand,1010501 - Stock on Hand - B,0.00 ,204.80 ,Main - B,Customer,Guest
,,,,1010501,Stock on Hand,1010501 - Stock on Hand - B,0.00 ,101.76 ,Main - B,Customer,Guest
,,,,1010501,Stock on Hand,1010501 - Stock on Hand - B,0.00 ,140.80 ,Main - B,Customer,Guest
,,,,1010501,Stock on Hand,1010501 - Stock on Hand - B,0.00 ,168.96 ,Main - B,Customer,Guest
