Entry Type,Series,Company,Posting Date,,,Account (Accounting Entries),Credit (Accounting Entries),Debit (Accounting Entries),Cost Center (Accounting Entries),Party Type (Accounting Entries),Party (Accounting Entries)
,,,,4010101,Revenue - Construction,4010101 - Revenue - Construction - B,36575,0,Main - B,Customer,Guest
,,,,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,0,21315,Main - B,Customer,Guest
,,,,2010301,VAT on Sales,2010301 - VAT on Sales - B,1015,0,Main - B,Customer,Guest
,,,,4010101,Revenue - Construction,4010101 - Revenue - Construction - B,20300,0,Main - B,Customer,Guest
,,,,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,0,4966.5,Main - B,Customer,Guest
,,,,2010301,VAT on Sales,2010301 - VAT on Sales - B,236.5,0,Main - B,Customer,Guest
,,,,4010101,Revenue - Construction,4010101 - Revenue - Construction - B,4730,0,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-04-03,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,1600,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,1600,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,60000,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,60000,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-04-04,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,130000,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,0,146863.5,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,130000,0,Main - B,Customer,Guest
,,,,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,52762.5,0,Main - B,Customer,Guest
,,,,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,38403.75,0,Main - B,Customer,Guest
